,Sector_score,PARA_A,Score_A,Risk_A,PARA_B,Score_B,Risk_B,TOTAL,numbers,Score_B.1,Risk_C,Money_Value,Score_MV,Risk_D,District_Loss,PROB,RiSk_E,History,Prob,Risk_F,Score,Inherent_Risk,CONTROL_RISK,Detection_Risk,Audit_Risk
323,55.57,0.82,0.2,0.164,0.0,0.2,0.0,0.82,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.564,0.4,0.5,-0.20975007798995815
324,55.57,1.08,0.4,0.432,0.0,0.2,0.0,1.08,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,1.832,0.4,0.5,-0.22433623802089775
325,3.89,0.0,0.2,0.0,3.72,0.2,0.744,3.72,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,9,0.6,5.4,2.4,7.544,5.8,0.5,93.88315767923827
326,3.89,0.62,0.2,0.124,2.02,0.2,0.404,2.64,5.0,0.2,1.0,0.11,0.2,0.022,2,0.2,0.4,0,0.2,0.0,2.0,1.95,0.4,0.5,-0.35052948031414477
327,3.89,0.01,0.2,0.002,1.29,0.2,0.258,1.3,5.5,0.4,2.2,36.52,0.6,21.912,4,0.2,0.8,0,0.2,0.0,3.0,25.172,0.8,0.5,9.628353478576127
328,3.89,0.0,0.2,0.0,10.8,0.6,6.48,10.8,6.0,0.6,3.6,11.75,0.6,7.05,2,0.2,0.4,0,0.2,0.0,4.4,17.53,0.4,0.5,5.173715991752729
329,3.41,10.0,0.6,6.0,47.9,0.6,28.74,57.9,5.0,0.2,1.0,7.7,0.4,3.08,2,0.2,0.4,0,0.2,0.0,3.8,39.22,0.4,0.5,8.280786465839425
330,55.57,0.6,0.2,0.12,0.46,0.2,0.092,1.06,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.612,0.4,0.5,-0.026537109992034846
331,2.72,2.81,0.6,1.686,4.6,0.2,0.92,7.41,5.0,0.2,1.0,8.44,0.4,3.376,2,0.2,0.4,0,0.2,0.0,2.6,7.382,0.4,0.5,1.2216560061807775
332,2.72,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4,0.4,0.5,0.177381194662376
333,1.85,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4,0.4,0.5,0.1722724635513182
334,1.85,19.21,0.6,11.526,2.47,0.6,1.482,21.68,5.0,0.2,1.0,0.0,0.2,0.0,6,0.2,1.2,0,0.2,0.0,4.0,15.208,1.2,0.5,6.436941602308419
335,3.41,1.08,0.4,0.432,32.71,0.6,19.626,33.79,5.0,0.2,1.0,8.38,0.4,3.352,2,0.2,0.4,0,0.2,0.0,3.6,24.81,0.4,0.5,5.1417267723906015
336,55.57,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4,0.4,0.5,0.4877219293973267
337,2.72,1.46,0.4,0.584,0.75,0.2,0.15,2.21,5.0,0.2,1.0,0.11,0.2,0.022,2,0.2,0.4,0,0.2,0.0,2.2,2.156,0.4,0.5,-0.6775774751035981
338,55.57,0.0,0.2,0.0,1.3,0.4,0.52,1.3,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.6,1.92,0.4,0.5,0.23049835629127813
339,55.57,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4,0.4,0.5,0.4877219293973267
340,55.57,2.45,0.6,1.47,5.47,0.6,3.282,7.92,5.0,0.2,1.0,5.61,0.4,2.244,2,0.2,0.4,0,0.2,0.0,3.8,8.396,0.4,0.5,1.3505385710770326
341,55.57,0.74,0.2,0.148,0.0,0.2,0.0,0.74,5.0,0.2,1.0,2.4,0.2,0.48,2,0.2,0.4,0,0.2,0.0,2.0,2.028,0.4,0.5,0.07128405891386302
342,55.57,3.14,0.6,1.884,4.97,0.6,2.982,8.11,5.0,0.2,1.0,6.41,0.4,2.564,2,0.2,0.4,1,0.4,0.4,4.0,9.23,0.8,0.5,11.496734804196977
343,55.57,1.36,0.4,0.544,0.0,0.2,0.0,1.36,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,1.944,0.4,0.5,-0.33212258854137033
344,55.57,1.19,0.4,0.476,0.0,0.2,0.0,1.19,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,1.876,0.4,0.5,-0.2666808757253678
345,55.57,1.85,0.4,0.74,4.16,0.6,2.496,6.01,5.0,0.2,1.0,0.51,0.2,0.102,2,0.2,0.4,0,0.2,0.0,3.4,4.738,0.4,0.5,-0.5479080152523177
346,1.99,1.19,0.4,0.476,0.0,0.2,0.0,1.19,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,1.876,0.4,0.5,-0.5813082469098245
347,55.57,0.7,0.2,0.14,0.0,0.2,0.0,0.7,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.54,0.4,0.5,-0.10768100373815725
348,1.85,1.08,0.4,0.432,1.98,0.4,0.792,3.06,5.0,0.2,1.0,3.92,0.2,0.784,2,0.2,0.4,0,0.2,0.0,2.8,3.408,0.4,0.5,-0.40078754709233744
349,21.61,0.72,0.2,0.144,0.8,0.2,0.16,1.52,5.0,0.2,1.0,0.02,0.2,0.004,2,0.2,0.4,0,0.2,0.0,2.0,1.708,0.4,0.5,-0.32914067121528756
350,55.57,0.61,0.2,0.122,0.0,0.2,0.0,0.61,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.522,0.4,0.5,-0.03112919804931069
